time,text,user,fav_n,rt_n,total_fav_rt,text_preview
Fri Jun 27 20:32:24 +0000 2014,"┏━━━┓┏━┓
┃  O O  ┃┃曰┃
┃  /￣\  ┃ ┃ : ┃
┗┳━┳.   ┃ : ┃
    ┻━┻    ┻━┻＼  
┏━━━━━━━┓）
┃口口口口口口口┃  
┃ 口口口口 口口 ┃  
┗━━━━━━━┛  @DinoKrista",ASpannbauer,3,0,3,"┏━━━┓┏━┓
┃  O O  ┃┃曰..."
Sun Jun 22 15:52:03 +0000 2014,#I #IBelieve #IBelieveThat #IBelieveThatWe #IBelieveThatWeWill #IBelieveThatWeWillWin #IBelieveThatWeWillWin #IBelieveThatWeWillWin,ASpannbauer,1,2,3,#I #IBelieve #IBelie...
Tue Jun 17 14:12:38 +0000 2014,@seanBrahh http://t.co/xuVyYUTnDe,ASpannbauer,2,0,2,@seanBrahh http://t....
Mon Jun 16 16:11:27 +0000 2014,Penalty!!,ASpannbauer,2,0,2,Penalty!!...
Sat Jun 14 02:47:40 +0000 2014,@mharp91 I miss when you just played video games and didn't do anything in real life....,ASpannbauer,4,0,4,@mharp91 I miss when...
Fri Jun 13 20:52:07 +0000 2014,"First thought when Robben was flying on that break.....""I bet @dozark1 could beat Arjen in a 40""",ASpannbauer,5,0,5,First thought when R...
Tue Jun 10 23:08:27 +0000 2014,#smashhype,ASpannbauer,1,0,1,#smashhype...
Sat May 31 20:23:54 +0000 2014,@ENVYControllers @CLASHTournament #SKTAR3 #Envy,ASpannbauer,1,0,1,@ENVYControllers @CL...
Fri May 30 23:24:54 +0000 2014,Merry Xmas @mharp91 #ice http://t.co/NXP3dCfaLw,ASpannbauer,3,0,3,Merry Xmas @mharp91 ...
Fri May 30 16:37:56 +0000 2014,@ENVYControllers @CLASHTournament #SKTAR3 #Envy,ASpannbauer,1,0,1,@ENVYControllers @CL...
Wed May 14 13:13:53 +0000 2014,Shoutouts to @LaurenWard08 for finishing college (and also for just bein awesome in general) #funfact #itsnationaldancelikeachickenday,ASpannbauer,5,1,6,Shoutouts to @Lauren...
Tue May 13 01:34:10 +0000 2014,Is it possible to write a 12 page research paper on octopus psychology in an afternoon? #Yes #11.5RoundsUp,ASpannbauer,3,0,3,Is it possible to wr...
Mon May 12 13:13:57 +0000 2014,My motivation to study: 📉,ASpannbauer,5,1,6,My motivation to stu...
Mon May 12 12:16:09 +0000 2014,@LaurenWard08 someone is procrastinating on twitter.....,ASpannbauer,2,0,2,@LaurenWard08 someon...
Wed Apr 30 13:23:39 +0000 2014,Stoop Kid's afraid to leave his stoop!,ASpannbauer,2,1,3,Stoop Kid's afraid t...
Mon Apr 28 13:52:16 +0000 2014,Giving a group presentation in 8 min....haven't met with my group yet though,ASpannbauer,3,0,3,Giving a group prese...
Wed Apr 02 15:38:31 +0000 2014,@mharp91 Judy &gt; Dorothy Mantooth,ASpannbauer,3,0,3,@mharp91 Judy &gt; D...
Wed Apr 02 12:35:06 +0000 2014,My socks are almost always the first part of my outfit I pick out,ASpannbauer,2,0,2,My socks are almost ...
Mon Mar 31 04:24:24 +0000 2014,@DinoKrista HC 781,ASpannbauer,0,0,0,@DinoKrista HC 781...
Tue Mar 18 14:21:43 +0000 2014,"A coworker walked up, gave me an Arcanine card, said he raised it himself and to use him against my boss, then walked off #gottacatchemall",ASpannbauer,5,0,5,A coworker walked up...
Sun Mar 09 19:57:51 +0000 2014,Luigi &gt; 20XX #abate #RoM7,ASpannbauer,4,0,4,Luigi &gt; 20XX #aba...
Sat Mar 01 17:49:07 +0000 2014,http://t.co/l8mPsUMSMq @progducto,ASpannbauer,0,0,0,http://t.co/l8mPsUMS...
Sat Feb 22 13:51:02 +0000 2014,S/O to DJ Stutter (#smoothlikebutter) and Project Poor #NoGravity @mharp91 @seanBrahh,ASpannbauer,2,0,2,S/O to DJ Stutter (#...
Mon Feb 17 16:00:19 +0000 2014,I'm gonna be a Vol next year,ASpannbauer,8,0,8,I'm gonna be a Vol n...
Fri Feb 14 15:05:03 +0000 2014,My Valentine's Day gift mug &gt; your Valentine's Day gift http://t.co/wnNT2rkPTk,ASpannbauer,1,0,1,My Valentine's Day g...
Sat Feb 08 05:54:28 +0000 2014,Woo,ASpannbauer,3,2,5,Woo...
Fri Feb 07 18:19:55 +0000 2014,In case y'all didn't know what awesome looked like #noitsnottooearly http://t.co/9OHpP1w8wO,ASpannbauer,1,0,1,In case y'all didn't...
Fri Feb 07 16:05:00 +0000 2014,Bday gift from @LaurenWard08 can't wait to fill it up (then empty it over and over) http://t.co/fyurZpnZHw,ASpannbauer,6,0,6,Bday gift from @Laur...
Sat Feb 01 15:56:57 +0000 2014,Just listened to good kid m.A.A.d. city straight through... #whichalbumnext,ASpannbauer,1,0,1,Just listened to goo...
Sat Feb 01 03:35:57 +0000 2014,Love that I can't get written up right now #shewhomustnotbenamed,ASpannbauer,2,0,2,Love that I can't ge...
Thu Jan 30 14:05:06 +0000 2014,#thesis http://t.co/lzewwW2gOA,ASpannbauer,1,0,1,#thesis http://t.co/...
Mon Jan 27 21:56:17 +0000 2014,Can significantly predict your affinity towards herion #thesis,ASpannbauer,2,0,2,Can significantly pr...
Sun Jan 26 06:32:20 +0000 2014,This guy loves melee but is cravin some 64 ssb,ASpannbauer,2,0,2,This guy loves melee...
Thu Jan 23 15:12:01 +0000 2014,Group projects remind me why I don't like 90% of the population,ASpannbauer,2,1,3,Group projects remin...
Thu Jan 23 01:54:08 +0000 2014,I just don't care anymore,ASpannbauer,2,0,2,I just don't care an...
Tue Jan 21 14:51:58 +0000 2014,My head can't decide if I have Für Elise or the SSBM intro song stuck in it,ASpannbauer,2,0,2,My head can't decide...
Mon Jan 20 05:24:30 +0000 2014,NP: Brain Cells by @chancetherapper #10Day,ASpannbauer,2,0,2,NP: Brain Cells by @...
Fri Jan 10 14:20:22 +0000 2014,I work here http://t.co/cZOusNSpC6,ASpannbauer,3,0,3,I work here http://t...
Thu Jan 09 12:37:43 +0000 2014,Teamshare is at least 2.4 times better than Christmas,ASpannbauer,2,0,2,Teamshare is at leas...
Wed Jan 08 16:00:03 +0000 2014,@DinoKrista I've missed some excitement the past 2 days,ASpannbauer,0,0,0,@DinoKrista I've mis...
